Country,Area Type,Area Name,Measure,Age Min,Age Max,Percentage,Total
England,Ward,Abbey,Population,,,,3859
England,Ward,Abbey,Females,,,0.51,
England,Ward,Abbey,Males,,,0.49,
England,Ward,Abbey,AgeRange,0,4,0.036,
England,Ward,Abbey,AgeRange,5,19,0.12,
England,Ward,Abbey,AgeRange,20,64,0.558,
England,Ward,Abbey,AgeRange,65,84,0.228,
England,Ward,Abbey,AgeRange,85,100,0.059,
England,Ward,Bagley,Population,,,,4579
England,Ward,Bagley,Females,,,0.514,
England,Ward,Bagley,Males,,,0.486,
England,Ward,Bagley,AgeRange,0,4,0.059,
England,Ward,Bagley,AgeRange,5,19,0.148,
England,Ward,Bagley,AgeRange,20,64,0.605,
England,Ward,Bagley,AgeRange,65,84,0.162,
England,Ward,Bagley,AgeRange,85,100,0.026,
England,Ward,Battlefield,Population,,,,4492
England,Ward,Battlefield,Females,,,0.504,
England,Ward,Battlefield,Males,,,0.496,
England,Ward,Battlefield,AgeRange,0,4,0.073,
England,Ward,Battlefield,AgeRange,5,19,0.162,
England,Ward,Battlefield,AgeRange,20,64,0.623,
England,Ward,Battlefield,AgeRange,65,84,0.128,
England,Ward,Battlefield,AgeRange,85,100,0.015,
England,Ward,Belle Vue,Population,,,,4635
England,Ward,Belle Vue,Females,,,0.52,
England,Ward,Belle Vue,Males,,,0.48,
England,Ward,Belle Vue,AgeRange,0,4,0.044,
England,Ward,Belle Vue,AgeRange,5,19,0.157,
England,Ward,Belle Vue,AgeRange,20,64,0.602,
England,Ward,Belle Vue,AgeRange,65,84,0.161,
England,Ward,Belle Vue,AgeRange,85,100,0.036,
England,Ward,Bowbrook,Population,,,,3979
England,Ward,Bowbrook,Females,,,0.516,
England,Ward,Bowbrook,Males,,,0.484,
England,Ward,Bowbrook,AgeRange,0,4,0.05,
England,Ward,Bowbrook,AgeRange,5,19,0.136,
England,Ward,Bowbrook,AgeRange,20,64,0.626,
England,Ward,Bowbrook,AgeRange,65,84,0.157,
England,Ward,Bowbrook,AgeRange,85,100,0.031,
England,Ward,Castlefields and Ditherington,Population,,,,4630
England,Ward,Castlefields and Ditherington,Females,,,0.508,
England,Ward,Castlefields and Ditherington,Males,,,0.492,
England,Ward,Castlefields and Ditherington,AgeRange,0,4,0.073,
England,Ward,Castlefields and Ditherington,AgeRange,5,19,0.159,
England,Ward,Castlefields and Ditherington,AgeRange,20,64,0.609,
England,Ward,Castlefields and Ditherington,AgeRange,65,84,0.14,
England,Ward,Castlefields and Ditherington,AgeRange,85,100,0.019,
England,Ward,Column,Population,,,,4393
England,Ward,Column,Females,,,0.508,
England,Ward,Column,Males,,,0.492,
England,Ward,Column,AgeRange,0,4,0.056,
England,Ward,Column,AgeRange,5,19,0.172,
England,Ward,Column,AgeRange,20,64,0.58,
England,Ward,Column,AgeRange,65,84,0.163,
England,Ward,Column,AgeRange,85,100,0.03,
England,Ward,Copthorne,Population,,,,4131
England,Ward,Copthorne,Females,,,0.507,
England,Ward,Copthorne,Males,,,0.493,
England,Ward,Copthorne,AgeRange,0,4,0.049,
England,Ward,Copthorne,AgeRange,5,19,0.199,
England,Ward,Copthorne,AgeRange,20,64,0.53,
England,Ward,Copthorne,AgeRange,65,84,0.18,
England,Ward,Copthorne,AgeRange,85,100,0.041,
England,Ward,Harlescott,Population,,,,4944
England,Ward,Harlescott,Females,,,0.5,
England,Ward,Harlescott,Males,,,0.5,
England,Ward,Harlescott,AgeRange,0,4,0.071,
England,Ward,Harlescott,AgeRange,5,19,0.193,
England,Ward,Harlescott,AgeRange,20,64,0.564,
England,Ward,Harlescott,AgeRange,65,84,0.156,
England,Ward,Harlescott,AgeRange,85,100,0.017,
England,Ward,Meole,Population,,,,4329
